date,MCD,CVX,DD,PG,UNH,V,WBA,RTX,INTC,VZ,WMT,JNJ,AXP,MRK,PFE,JPM,CSCO,NKE,MSFT,MMM,AAPL,GS,IBM,TRV,HD,CAT,XOM,DIS,KO,BA
2017-01-19,102.8946304321289,84.12398529052734,69.75125885009766,69.56565856933594,142.5883026123047,77.62674713134766,62.16624069213867,58.10325622558594,30.044681549072266,36.21240615844727,19.615846633911133,93.18468475341795,69.12164306640625,46.21004104614258,22.39693069458008,67.97391510009766,23.962146759033203,48.90450286865234,56.67584991455078,107.76920318603516,27.795055389404297,198.7563323974609,112.92340087890624,99.87541961669922,113.73943328857422,78.4986343383789,59.64411163330078,102.3997573852539,32.6497688293457,147.41580200195312
2017-01-20,102.96199035644533,84.1385498046875,70.10559844970703,71.82424926757812,142.55235290527344,77.73123168945312,60.84831237792969,58.13475799560547,30.348648071289062,36.46138381958008,19.488208770751957,93.14386749267578,68.68001556396484,47.8951416015625,22.44639015197754,68.27584075927734,24.058067321777344,49.15398406982422,57.07612991333008,107.65460968017578,27.846105575561523,199.43490600585935,115.45523834228516,99.90082550048828,113.91584014892578,79.50741577148438,60.4606819152832,102.76248168945312,32.792625427246094,147.90716552734375
2017-01-23,102.22093200683594,83.9856948852539,69.81234741210938,71.42182922363281,142.92076110839844,78.02568054199219,60.72172546386719,57.89860534667969,30.2089900970459,36.24697494506836,19.334461212158203,92.94806671142578,68.47271728515625,47.343658447265625,22.22736167907715,68.30850219726562,24.19393539428711,49.1909408569336,57.27626419067383,107.66668701171876,27.864669799804688,199.83848571777344,115.78018951416016,99.91776275634766,115.9908676147461,79.40653991699219,59.81305694580078,102.24705505371094,32.87992477416992,146.3402557373047
2017-01-24,101.9429931640625,84.69898223876953,72.86679077148438,72.16102600097656,144.14271545410156,79.05146026611328,60.48347091674805,58.56502151489258,30.907310485839844,34.663204193115234,19.55203056335449,91.19371032714844,69.78863525390625,46.88407897949219,22.008337020874023,69.1326675415039,24.45770072937012,49.38497161865234,57.78572463989258,106.13468170166016,27.839141845703125,200.7060546875,119.07697296142578,98.90194702148438,115.98245239257812,80.90286254882812,59.89752197265625,102.99156951904295,33.252925872802734,148.85284423828125
2017-01-25,102.5662078857422,85.3321762084961,73.56322479248047,71.58611297607422,144.87045288085938,79.68781280517578,61.07915115356445,58.22394943237305,31.05520439147949,34.421146392822266,19.404088973999023,92.04231262207033,69.30191040039062,46.78450393676758,22.10725212097168,70.20165252685547,24.53762626647949,49.763790130615234,57.9312629699707,106.59307098388672,28.28235626220703,203.77227783203125,120.69490051269533,99.60457611083984,115.49520111083984,82.50849151611328,60.07351303100586,103.1251983642578,33.427528381347656,155.16668701171875
2017-01-26,102.64197540283205,84.8299789428711,75.04155731201172,71.12615203857422,146.2270965576172,79.06096649169922,60.513221740722656,57.90911102294922,30.858028411865234,33.97159957885742,19.357666015625,91.25899505615234,69.33795928955078,46.876426696777344,22.100191116333008,70.78917694091797,24.56959724426269,49.569766998291016,58.46800994873047,106.64737701416016,28.29627799987793,205.77349853515625,120.94535064697266,99.99391174316406,116.31848907470705,81.7267074584961,60.25654983520508,103.144287109375,33.181495666503906,156.79844665527344
2017-01-27,103.4673080444336,82.8211441040039,74.90715026855469,71.2247085571289,146.4427947998047,79.56434631347656,60.68450546264648,57.56279754638672,31.20307922363281,34.303585052490234,19.047277450561523,92.51557159423828,69.26585388183594,47.29770278930664,22.19910049438477,70.9360580444336,24.761423110961918,49.14474487304688,59.84166717529297,107.0454330444336,28.29860115051269,203.5146026611328,120.0247039794922,99.9685287475586,116.20928192138672,83.2146224975586,60.19316864013672,104.327880859375,32.89580535888672,155.48191833496094
2017-01-30,103.60204315185548,81.38728332519531,73.48989868164062,71.24934387207031,145.63412475585938,79.49785614013672,60.66961669921875,57.2846908569336,30.743009567260746,34.14449691772461,19.267736434936523,92.31159210205078,69.6534194946289,47.05258941650391,22.121381759643555,70.20165252685547,24.641530990600582,49.043113708496094,59.25037384033203,105.80297088623048,28.224346160888672,200.8950042724609,119.0093002319336,99.46913146972656,116.32689666748048,81.36522674560547,59.735633850097656,105.89327239990234,32.840232849121094,153.50714111328125
2017-01-31,103.22309112548828,81.04519653320312,72.85457611083984,71.94747924804688,145.6431427001953,78.55756378173828,61.01212310791016,57.54705429077149,30.25005149841309,33.895538330078125,19.360570907592773,92.40950775146484,68.84223175048828,47.48152542114258,22.418123245239254,69.0592269897461,24.553607940673828,48.87679672241211,58.81370544433594,105.44108581542967,28.159372329711918,196.9612579345703,118.14274597167967,99.6976547241211,115.57918548583984,80.4153060913086,59.05281829833984,105.61646270751952,32.99103546142578,151.51376342773438
2017-02-01,103.09676361083984,80.79047393798828,73.67315673828125,71.72572326660156,146.19117736816406,78.30110931396484,60.34199142456055,56.76519393920898,30.00359535217285,33.46672821044922,19.212629318237305,92.39318084716795,69.18475341796875,47.5657844543457,22.60369300842285,69.32034301757812,24.37777137756348,48.98766708374024,57.84029769897461,105.65217590332033,29.876544952392575,198.12078857421875,117.987060546875,98.64805603027344,115.46158599853516,79.95295715332031,58.384090423583984,106.23690032958984,32.744998931884766,152.023681640625
